Missing_Rate,Classifier,KNN,MICE,MissForest,Mode,SHD
0.1,Logistic Regression,0.7109375,0.7078125,0.7081038552321007,0.7174749807544265,0.541780447842709
0.1,Random Forest,0.7564191533657183,0.7691237830319889,0.7564912280701754,0.7631027253668763,0.493844049247606
0.2,Logistic Regression,0.7034372501998402,0.7015043547110056,0.7083333333333334,0.7232752084912812,0.4444444444444444
0.2,Random Forest,0.7652645861601085,0.7680660701995871,0.7510548523206751,0.7503448275862069,0.4587664587664588
0.3,Logistic Regression,0.6958637469586375,0.6929755327545383,0.6905537459283387,0.7299703264094956,0.12832929782082325
0.3,Random Forest,0.751696065128901,0.7647467036780013,0.7494795281054824,0.756198347107438,0.4237165582067968
0.4,Logistic Regression,0.69375,0.6882591093117408,0.6950819672131148,0.7368421052631579,0.392586352148273
0.4,Random Forest,0.7496463932107497,0.748211731044349,0.7419354838709677,0.7575342465753425,0.43235704323570434
0.5,Logistic Regression,0.6787401574803149,0.6622073578595318,0.688783570300158,0.7315789473684211,0.03655352480417755
0.5,Random Forest,0.7173761339846476,0.7387005649717514,0.7136627906976745,0.7443762781186094,0.41696621135873474
