Missing_Rate,Classifier,KNN,MICE,MissForest,Mode,SHD
0.1,Logistic Regression,0.7483777937995674,0.7519656897784132,0.7528735632183908,0.7620376831821354,0.37671680837148463
0.1,Random Forest,0.7413441955193483,0.7449392712550608,0.7434695244474213,0.7327642810242941,0.4544159544159544
0.2,Logistic Regression,0.7338129496402878,0.7498218104062723,0.7438136826783115,0.7656145063801209,0.4836759371221282
0.2,Random Forest,0.7389229720518065,0.7506811989100818,0.7336545079146594,0.7355003186743149,0.48719723183391006
0.3,Logistic Regression,0.7367668097281831,0.7395315826827538,0.7286135693215339,0.7688277668631304,0.43813131313131315
0.3,Random Forest,0.7426621160409557,0.7362401715511079,0.7379169503063309,0.72125,0.4788732394366197
0.4,Logistic Regression,0.730225988700565,0.7205146533238027,0.7239082161361954,0.7657142857142857,0.4142512077294686
0.4,Random Forest,0.7409470752089137,0.7446808510638298,0.7325501036627505,0.7097170971709718,0.4433768016472203
0.5,Logistic Regression,0.7347222222222223,0.7336244541484717,0.7189349112426036,0.7645974185617701,0.4903078677309008
0.5,Random Forest,0.7302032235459005,0.7403708987161198,0.7280453257790368,0.7215112736136502,0.487508440243079
