Missing_Rate,Classifier,KNN,MICE,MissForest,Mode,SHD
0.1,Logistic Regression,0.7098283931357254,0.7083659108678655,0.710795902285264,0.7179093005380477,0.5569482288828338
0.1,Random Forest,0.7564191533657183,0.7691237830319889,0.7564912280701754,0.7631027253668763,0.493844049247606
0.2,Logistic Regression,0.7034372501998402,0.7025316455696202,0.7056,0.7247915087187263,0.4423558897243108
0.2,Random Forest,0.7652645861601085,0.7680660701995871,0.7510548523206751,0.7503448275862069,0.4587664587664588
0.3,Logistic Regression,0.6936135812449474,0.694620253164557,0.6935483870967742,0.7324981577008106,0.13333333333333333
0.3,Random Forest,0.751696065128901,0.7647467036780013,0.7494795281054824,0.756198347107438,0.4237165582067968
0.4,Logistic Regression,0.6876971608832808,0.6882591093117408,0.6932465419039869,0.735080058224163,0.40033361134278567
0.4,Random Forest,0.7496463932107497,0.748211731044349,0.7419354838709677,0.7575342465753425,0.43235704323570434
0.5,Logistic Regression,0.6712538226299695,0.6638795986622074,0.6821963394342762,0.7352328005559416,0.039473684210526314
0.5,Random Forest,0.7173761339846476,0.7387005649717514,0.7136627906976745,0.7443762781186094,0.41696621135873474
